Started Log File:     logs/MMTK 2022-09-18 23-57-53-COM6.txt
Data Source:     COM6

NÂþNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	0.00	0.00	0.00	0	3	0	0	0	12.40	1	1	1	1	1	
1	0.00	0.00	0.03	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.14	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	0.25	0	3	0	0	0	12.40	1	1	1	1	1	
1	0.00	0.00	0.58	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	1.42	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	2.38	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.25	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	4.22	0	3	0	0	0	12.40	1	1	1	1	1	
1	0.00	0.00	5.11	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	5.51	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	0.00	5.10	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	4.89	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	5.19	0	3	0	0	0	12.40	1	1	1	1	1	
1	0.00	0.00	5.62	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	5.90	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	5.93	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	5.83	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	5.70	0	3	0	0	0	12.40	1	1	1	1	1	
1	0.00	0.00	5.49	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	5.04	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	4.62	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	4.53	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	4.71	0	3	0	0	0	12.40	1	1	1	1	1	
1	0.00	0.00	5.02	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	5.02	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	4.65	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	4.51	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	4.72	0	3	0	0	0	12.40	1	1	1	1	1	
1	0.00	0.00	5.02	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	5.13	0	3	0	0	0	12.50	1	1	1	1	1	
