Started Log File:     logs/MMTK 2022-09-18 22-21-15-COM6.txt
Data Source:     COM6

jC$þ1	ñNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	1000	0.00	0.02	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	0.17	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	0.53	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	0.97	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	1.30	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	1.68	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	2.10	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	2.41	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	2.73	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	2.99	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	3.21	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	3.38	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	3.50	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	0.00	3.52	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	3.41	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	3.25	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	3.04	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	2.50	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	1.30	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	0.26	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	0.00	0.01	100	3	0	0	0	12.38	1	1	1	1	1	
